time_s,force_n,displacement_m,displacement_mm,velocity_m_s,acceleration_m_s2,acceleration_g
0.0,1.9817949273723953e-104,0.0,0.0,0.0,2.798690850805328e-106,2.8538704356791855e-107
0.001,2.9614114475057875e-104,1.3952947043079935e-112,1.3952947043079934e-109,2.7347773494419132e-109,2.480190101968539e-106,2.5290900582447006e-107
0.002,4.423566201127168e-104,-9.578969933341587e-111,-9.578969933341587e-108,3.7691593234494797e-109,6.7474449745852934e-105,6.880479036761069e-106
0.003,6.604976868649577e-104,-3.2342799315161804e-110,-3.2342799315161805e-107,1.357587034036872e-108,2.1581169149410286e-104,2.2006668076672753e-105
0.004,9.857949650553928e-104,-5.178856789136581e-110,-5.178856789136581e-107,4.514330101054218e-108,3.377556429485807e-104,3.4441490513945203e-105
0.005,1.4706531329796426e-103,-5.690103520826963e-110,-5.690103520826963e-107,1.0082206315207026e-107,3.616972720356681e-104,3.68828572484659e-105
0.006,2.192978750276242e-103,-4.221840509338129e-110,-4.221840509338129e-107,1.7225606602150223e-107,2.5562807446305267e-104,2.6066809202230393e-105
0.007,3.2685233010973673e-103,-7.832325655400925e-111,-7.832325655400925e-108,2.403825163138365e-107,2.7314382178771444e-105,2.785291835516863e-106
0.008,4.869165632997984e-103,4.061211071577955e-110,4.061211071577955e-107,2.754319181625206e-107,-2.7544445202178256e-104,-2.808751735014328e-105
0.009000000000000001,7.249974191346863e-103,9.191636734907556e-110,9.191636734907555e-107,2.3692807313945067e-107,-5.644338816140779e-104,-5.7556238023593985e-105
0.01,1.078923905612675e-102,1.2932846329221146e-109,1.2932846329221147e-106,7.368808025497225e-108,-7.10458833909781e-104,-7.244663915911968e-105
0.011,1.604765037642469e-102,1.3054297331171902e-109,1.3054297331171902e-106,-2.761776640421193e-107,-5.425079921886369e-104,-5.532041953048563e-105
0.012,2.3855721952521127e-102,5.381972784183401e-95,5.381972784183401e-92,8.678471981254276e-93,-3.753582180628426e-89,-3.8275886063318528e-90
0.013000000000000001,3.5442854013196056e-102,2.363788450398429e-94,2.363788450398429e-91,3.804665439331174e-92,-1.6483892862546067e-88,-1.6808892804929378e-89
0.014,5.262773849886788e-102,5.376082673904778e-94,5.376082673904777e-91,8.6368319354871e-92,-3.7485408663419534e-88,-3.8224478964192194e-89
0.015,7.809907120746874e-102,9.468615770940797e-94,9.468615770940797e-91,1.51819981995665e-91,-6.60125104079257e-88,-6.731402712233608e-89
0.016,1.1582911950652891e-101,1.4537772112940292e-93,1.453777211294029e-90,2.3263017562957322e-91,-1.0133962243132155e-87,-1.0333765601028032e-88
0.017,1.716826063763967e-101,2.0482784620767417e-93,2.0482784620767416e-90,3.2707945175462094e-91,-1.4276121257944387e-87,-1.4557592305164749e-88
0.018000000000000002,2.5431253872781132e-101,2.7205734764716754e-93,2.7205734764716754e-90,4.3350038005298016e-91,-1.8959179220870973e-87,-1.9332982436276376e-88
0.019,3.7647730279392834e-101,3.4611552564513204e-93,3.4611552564513202e-90,5.502775483909686e-91,-2.4116591618611577e-87,-2.4592079475265844e-88
0.02,5.569758036968964e-101,4.260801658931213e-93,4.260801658931213e-90,6.75847562819051e-91,-2.968381828892392e-87,-3.0269070772306464e-88
0.021,8.234887235521736e-101,5.1105753957699265e-93,5.110575395769926e-90,8.086990475718386e-91,-3.5598323420623723e-87,-3.630018754684191e-88
0.022,1.216747344649011e-100,6.001824033769063e-93,6.001824033769063e-90,9.473726450680871e-91,-4.179957555358462e-87,-4.2623704887586103e-88
0.023,1.79664609437123e-100,6.926179994673279e-93,6.92617999467328e-90,1.0904610159107012e-90,-4.822904757873839e-87,-4.917994175252343e-88
0.024,2.6511990427776587e-100,7.875560555170259e-93,7.875560555170259e-90,1.2366088388867297e-90,-5.483021673807471e-87,-5.591126096890856e-88
0.025,3.909654773944034e-100,8.842167846890722e-93,8.842167846890721e-90,1.384512810967369e-90,-6.154856462464126e-87,-6.276206923326647e-88
0.026000000000000002,5.761687580015187e-100,9.818488856408438e-93,9.818488856408438e-90,1.532921647307961e-90,-6.833157718254377e-87,-6.967881711139255e-88
0.027,8.48546180728722e-100,1.0797295425240205e-92,1.0797295425240205e-89,1.6806360812479935e-90,-7.512874470694595e-87,-7.66099990383525e-88
0.028,1.248864527915553e-99,1.1771644249845866e-92,1.1771644249845865e-89,1.826508864311103e-90,-8.18915618440695e-87,-8.350615331848237e-88
0.029,1.836830819261679e-99,1.2734876881628297e-92,1.2734876881628297e-89,1.9694447662050687e-90,-8.857352759119413e-87,-9.031986212538852e-88
0.03,2.6998348446174006e-99,1.3680619726933412e-92,1.3680619726933411e-89,2.1084005748218194e-90,-9.513014529665752e-87,-9.700575150194768e-88
0.031,3.965701380048083e-99,1.4602784047050175e-92,1.4602784047050175e-89,2.242385096237428e-90,-1.0151892265985545e-86,-1.03520491360307e-87
0.032,5.8212797293624476e-99,1.549556595821058e-92,1.5495565958210578e-89,2.3704591547121156e-90,-1.0769937173124158e-86,-1.098227954818838e-87
0.033,8.539526387921351e-99,1.635344643158965e-92,1.635344643158965e-89,2.491735592690247e-90,-1.1363300891232755e-86,-1.1587342151736582e-87
0.034,1.2518937986961085e-98,1.7171191293305462e-92,1.717119129330546e-89,2.605379270800335e-90,-1.192833549556831e-86,-1.2163517098671117e-87
0.035,1.834093359848402e-98,1.794385122441912e-92,1.794385122441912e-89,2.71060706785504e-90,-1.246159349649358e-86,-1.2707288927914813e-87
0.036000000000000004,2.68533100395415e-98,1.8666761760934775e-92,1.8666761760934775e-89,2.806687880851165e-90,-1.2959827839477133e-86,-1.321534656531755e-87
0.037,3.929155105540569e-98,1.933554329379961e-92,1.933554329379961e-89,2.892942624969662e-90,-1.3419991905093321e-86,-1.3684583323656216e-87
0.038,5.745506719643701e-98,1.9946101068903855e-92,1.9946101068903856e-89,2.9687442335756287e-90,-1.3839239509022292e-86,-1.4112096902634735e-87
0.039,8.396310910078114e-98,2.0494625187080777e-92,2.0494625187080778e-89,3.0335176582183123e-90,-1.4214924902049992e-86,-1.4495189388884066e-87
0.04,1.2262618928289868e-97,2.0977590604106657e-92,2.0977590604106656e-89,3.086739868631098e-90,-1.454460277006812e-86,-1.483136725596215e-87
0.041,1.7898489252276982e-97,2.139175713070086e-92,2.139175713070086e-89,3.1279398527315256e-90,-1.4826028234074198e-86,-1.5118341364353983e-87
0.042,2.610911565389046e-97,2.173416943252574e-92,2.173416943252574e-89,3.156698616621277e-90,-1.5057156850171467e-86,-1.535402696147152e-87
0.043000000000000003,3.8064064522203744e-97,2.2002157030186742e-92,2.200215703018674e-89,3.1726491845861823e-90,-1.5236144609568957e-86,-1.5536543681653732e-87
0.044,5.546133108616594e-97,2.2193334299232287e-92,2.2193334299232286e-89,3.1754765990962166e-90,-1.5361347938581374e-86,-1.5664215546166504e-87
0.045,8.076492820816935e-97,2.2305600470153894e-92,2.2305600470153896e-89,3.1649179208055013e-90,-1.5431323698629169e-86,-1.5735570963202694e-87
0.046,1.1754883944145018e-96,2.2337139628386076e-92,2.2337139628386077e-89,3.1407622285523054e-90,-1.5444829186238399e-86,-1.5749342727881997e-87
0.047,1.7099478191196034e-96,2.2286420714306423e-92,2.2286420714306422e-89,3.1028506193590407e-90,-1.5400822133040716e-86,-1.570446802225094e-87
0.048,2.4861232877434388e-96,2.215219752323554e-92,2.215219752323554e-89,3.0510762084322725e-90,-1.5298460705773239e-86,-1.560008841528273e-87
0.049,3.6128041418088443e-96,2.1933508705437072e-92,2.1933508705437073e-89,2.9853841291627033e-90,-1.5137103506278402e-86,-1.5435549862877133e-87
0.05,5.247532408759253e-96,2.1629677766117665e-92,2.1629677766117666e-89,2.9057715331251885e-90,-1.4916309571503736e-86,-1.5210402707860214e-87
0.051000000000000004,7.61837129121733e-96,2.124031306542709e-92,2.124031306542709e-89,2.8122875900787275e-90,-1.4635838373501624e-86,-1.4924401679984117e-87
0.052000000000000005,1.1055365431981136e-95,2.0765307818458126e-92,2.0765307818458125e-89,2.7050334879664706e-90,-1.429564981942879e-86,-1.457750589592653e-87
0.053,1.6035999068002926e-95,2.020484009524653e-92,2.020484009524653e-89,2.5841624329157013e-90,-1.3895904251545644e-86,-1.4169878859290018e-87
0.054,2.325086917213856e-95,1.955937282077116e-92,1.955937282077116e-89,2.4498796492378636e-90,-1.343696244721542e-86,-1.3701888460601144e-87
0.055,3.369854948902719e-95,1.882965377495389e-92,1.8829653774953888e-89,2.30244237942854e-90,-1.291938561890279e-86,-1.3174106977309061e-87
0.056,4.8822604351336926e-95,1.8016715592659626e-92,1.8016715592659625e-89,2.142159884167465e-90,-1.2343935414171942e-86,-1.258731107378355e-87
0.057,7.070946194147545e-95,1.7121875763696345e-92,1.7121875763696343e-89,1.969393442318511e-90,-1.1711573915683801e-86,-1.1942481801312172e-87
0.058,1.0237416063203067e-94,1.614673663281501e-92,1.614673663281501e-89,1.7845563509297027e-90,-1.1023463641191952e-86,-1.1240804598096142e-87
0.059000000000000004,1.4817297407389938e-94,1.5093185399709665e-92,1.5093185399709665e-89,1.588113925233215e-90,-1.0280967543536858e-86,-1.0483669289244399e-87
0.06,2.1439924100306061e-94,1.3963394119017423e-92,1.3963394119017423e-89,1.3805834986453642e-90,-9.48564901063745e-87,-9.672670086765053e-88
0.061,3.101437452847976e-94,1.2759819700318302e-92,1.2759819700318303e-89,1.162534422766599e-90,-8.639271865478871e-87,-8.809605589552876e-88
0.062,4.4853713854620747e-94,1.1485203908135533e-92,1.1485203908135532e-89,9.345880673815462e-91,-7.743800366095123e-87,-7.896478783371614e-88
0.063,6.485441292002508e-94,1.0142573361935263e-92,1.0142573361935263e-89,6.974178204589486e-91,-6.801399205543538e-87,-6.935497040827946e-88
0.064,9.375546480184773e-94,8.735239536126715e-93,8.735239536126715e-90,4.5174908815172125e-91,-5.814433511868299e-87,-5.929072121334298e-88
0.065,1.3551263146841432e-93,7.266798760062153e-93,7.266798760062153e-90,1.9835929479689398e-91,-4.78546884804755e-87,-4.879820171054897e-88
0.066,1.958390281013808e-93,5.74113221803686e-93,5.74113221803686e-90,-6.192211708432437e-92,-3.7172712119170567e-87,-3.790561722827935e-88
